Title,Company,Location,Type,Level,YearsExp,Country,Skills
Social Media Specialist,Confidential, Alhadra,Full Time,Experienced,5+ Yrs of Exp,Alexandria,"E-marketing, Photoshop, Communication Skills, English, Writing, SEO, Content Creation, Arabic, Visual Arts, Graphic Design"
Senior Electrical Technical Office Engineer,Confidential, Heliopolis,Full Time,Experienced,10-12 Yrs of Exp,Cairo,"AutoCAD, TO, Electrical Technical Office, Microsoft Office, Power, Revit, English, Engineering - Mechanical/Electrical"
Senior Technical Office Engineer (Site -Civil),Confidential, Cairo,Full Time,Experienced,10-12 Yrs of Exp,Egypt,"Technical Office, TO, AutoCAD, Revit, Mechanical, English, Site Engineering, Engineering - Construction/Civil/Architecture"
Customer Service Specialist,Virtual Worker Now, Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Egypt,"10 Vacancies, Customer Service, Customer Support, Customer Care, Communication Skills, English, Customer Service/Support"
Senior Architectural Engineer (Technical Office),Confidential, Heliopolis,Full Time,Experienced,10-12 Yrs of Exp,Cairo,"AutoCAD, Technical Office, TO, Revit, QS, Photoshop, Architecture, IS, English, Shop Drawing"
Sales Team Leader,Tender Egypt, Shorouk City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Customer Service, Communication, Marketing, Negotiation Skills, Selling Skills, English, Sales Target, People Management, Sales/Retail"
Cost Accountant,INDEVCO, Alsadat City,Full Time,Experienced,4-6 Yrs of Exp,Monufya,"Finance, Clerical Accounting, Financial Management, Financial Analysis, Banking, Bank Relation, Credit Rules, Account Payable"
Senior HR Specialist,Location Real Estate, New Cairo,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Training, Labor Law, Recruitment, Real Estate, Personnel, HR, Human Resources"
Graphic Designer,PENCILIGHT, Beni Suef,Full Time,Freelance / Project,2-10 Yrs of Exp,Beni Suef,"2-10 Yrs of Exp, Graphic Design, 2D, Adobe Illustrator, CorelDraw, Adobe Photoshop, 2D Design, Cold Drawing Illustration"
Archiving Officer - مسؤول أرشفة,Mishkat Nour, Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Management, Data, Analysis, Archive, Administration, Administration"
Quality Control Analyst,Marcyrl Pharmaceutical Industry, Obour City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Quality Assurance, Pharmacy, Analysis, Risk Management, Quality, Analyst/Research, Pharmaceutical"
IT Specialist,Egast, Alexandria,Full Time,Part Time,2-6 Yrs of Exp,Egypt,"2-6 Yrs of Exp, Information Technology (IT), Installation, Computer Science, Maintenance, IT/Software Development"
Sales Team Leader - Real Estate Brokerage,Aqar Vision, Cairo,Full Time,Manager,5-6 Yrs of Exp,Egypt,"Sales Skills, Real Estate Brokerage, Sales Team, Sales Target, English, Communication Skills, Sales/Retail"
Psychiatrist,Dimensions, Khobar,Full Time,Experienced,3-5 Yrs of Exp,Saudi Arabia,"Psychiatrist, Medical, Psychiatry, Healthcare, Mental Health, Arabic, English, SCFHS, RRC, Medical/Healthcare"
Purchasing Officer,Confidential, Alhadra,Full Time,Experienced,3+ Yrs of Exp,Alexandria,"Purchasing Officer, Textile, Microsoft Office, Procurement, Vendor Sourcing, Purchasing/Procurement"
Finished Goods Warehouse Manager,Confidential, Alhadra,Full Time,Manager,8+ Yrs of Exp,Alexandria,"Warehousing, ERP, Logistics, Supply Chain, Finished Goods, Stock Control, Logistics/Supply Chain"
Sales Representative,National Builders, Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Sales Target, Sales/Retail"
Store Manager-Tanta/Mahalla,shot men's wear, Tanta,Full Time,Manager,2-5 Yrs of Exp,Gharbia,"Males Only, Store Management, Customer Service, Customer Care, Customer Support, Sales Skills, Sales Target, English, Retail"
Shops General Manager,Confidential, Alhadra,Full Time,Senior Management,10-15 Yrs of Exp,Alexandria,"Sales, Shops Management, Operations, Analysis, Distribution, Strategic Planning, Retail, Customer Service/Support"
Store Manager-Mansoura,shot men's wear, Mansoura,Full Time,Manager,2-5 Yrs of Exp,Dakahlia,"Males Only, Store Management, Customer Service, Customer Care, Customer Support, Sales Skills, Sales Target, English, Retail"
Sales General Manager,Confidential, Alhadra,Full Time,Senior Management,10-20 Yrs of Exp,Alexandria,"Sales Skills, Lead Generation, Business Development, Leadership, Strategic Planning, Operations/Management, Sales/Retail"
HR Specialist,Mishkat Nour, Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Human Resources (HR), Recruitment, Communication Skills, Human Resources"
مسؤول إدارة المستفيدين,Mishkat Nour, Nasr City,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Management, Data, Analysis, Administration"
Front-End Developer Angular - Ionic,DIRAC SYSTEMS, Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Information Systems, Computer Science, System Engineering, ML/XHTML, javaScript, CSS, jQuery, AngularJS, Software Development"
Customer Support Specialist,FaceGraph, Cairo,Full Time,Work From Home,3-5 Yrs of Exp,Egypt,"Customer Support, Customer Service, Customer Care, English, Sales, Software, Communication, Information Technology, CS"
Warehouse Manager - Multinational - Alexandria,Pillars, Alexandria,Full Time,Manager,8-10 Yrs of Exp,Egypt,"Logistics, Supply Chain, Warehouse Management, Food Industry, Logistics/Supply Chain"
Senior .Net Core Developer,Desklab, New Nozha,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"C#, ASP.NET, MVC, Angular, .NET Core, SQL, Web API, Azure, Information Technology (IT), Software Development"
Flutter Developer - Intern,Okhtub, Smart Village,Internship,Entry Level,null Yrs of Exp,Giza,"Information Technology (IT), Software Development, Android, Flutter, RESTful APIs, OOP, iOS, IT/Software Development"
Receptionist Front Office Admin,Snapology of Egypt, New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Education, Customer Relations, Office Manager, Administration, Office Management, Microsoft Office, Administration"
Head Instructor / Teacher,Snapology of Egypt, New Cairo,Full Time,Manager,2+ Yrs of Exp,Cairo,"Teaching, Instructor, Training, Learning, English, Education/Teaching, Training/Instructor"
Marketing Specialist,Magdy Taalab, Obour City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Packaging, Social Media, E-marketing, Marketing Plans, Marketing/PR/Advertising, Media/Journalism/Publishing"
Android Developer,Generation C, Sheraton,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Software Development, OOP, Kotlin, Testing, OOD, Jira, CI, Jetpack, Computer Science, Engineering, Telecom"
Odoo Implementer,DGTERA, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Information Technology (IT), Odoo, Computer Science, Python, PostgreSQL, javaScript, HTML, GIT, Linux, Software Development"
Senior UI Developer,Generation C, Sheraton,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, Telecommunication, Engineering, HTML5, UI, CSS3, javaScript, jQuery, SCSS"
Senior Xamarin/Cross Platform Mobile Apps...,eDoctor Software, Dokki,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Software Development, Software Engineering, Mobile Development, Android, iOS, Information Technology (IT), Xamarin"
Software Business Analyst - ERP,eDoctor Software, Dokki,Part Time,Experienced,3-6 Yrs of Exp,Giza,"Business Analysis, Information Technology (IT), Software Development, English, IT/Software Development, Analyst/Research"
Finance Director,Takween Integrated Community Development, Maadi,Full Time,Senior Management,15+ Yrs of Exp,Cairo,"Accounting, Financial Management, CPA, CMA, Accounting/Finance, C-Level Executive/GM/Director"
Social Media Moderator,Unicity, New Cairo,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Communication Skills, Writing, Social Networking, Design, E-marketing, English, Editing, SEO, Marketing/PR/Advertising"
Project Finance Manager,Takween Integrated Community Development, Maadi,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Accounting, CPA, Project Management, Financial Analysis, Commerce, Communication Skills, Risk Management, English, Software"
Accountant,Confidential, Rehab City,Full Time,Shift Based,0-3 Yrs of Exp,Cairo,"Accounting, Odoo, Advanced Excel, Finance, Financial Analysis, Financial Management, ERP, Computer Skills, Microsoft Office"
Sales Engineer,Desklab, New Nozha,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Males Preferred, Autodesk, Revit, BIM, MEP, Inventor, Structural, Sales Skills, Marketing, Business Development, 3ds Max"
Digital Marketing Specialist (Ecommerce),Confidential, Ain Shams,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"SEM, Google Analytics, Google Adwords, Campaigns, ROI, Social Media, Ecommerce, E-marketing, Marketing/PR/Advertising"
Website Designer (Ecommerce),Confidential, Abdeen,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"UX, Web Design, IT, JavaScript, jQuery, CSS, HTML, Photoshop, Illustrator, InDesign, Ecommerce, Creative/Design/Art"
Online Marketing Specialist,As Good As New, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Social Media, Google Analytics, Google Adwords, Digital Marketing, Facebook Ads, English, Communication, Dutch"
Laravel Developer,As Good As New, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"PHP, MySQL, REST API, Testing, Design, Information Technology (IT), Computer Science, IT/Software Development"
Senior Digital Marketing Specialist,brandimic, 6th of October,Full Time,Work From Home,2-5 Yrs of Exp,Giza,"Digital Marketing, Social Media, E-marketing, Online Marketing, Campaigns, Marketing/PR/Advertising, Media/Journalism/Publishing"
Ionic Developer,As Good As New, New Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Cairo,"Information Technology (IT), Ionic, Software Development, HTML, CSS, javaScript, Computer Science, Back End, SOAP, RESTful"
Agriculture Equipment Maintenance Manager,Nile Sugar, Wadi Alnatrun,Full Time,Manager,10+ Yrs of Exp,Beheira,"Maintenance, Management, Mechanical Engineering, Installation/Maintenance/Repair, Operations/Management"
Linux System Administrator,Add Pluses, 6th of October,Full Time,Part Time,1-2 Yrs of Exp,Giza,"1-2 Yrs of Exp, Males Only, Linux, System Administration, Apache, MySQL, Communication, Tomcat, Configuring, Shell Scripting"
Senior Graphic Designer,Unicity, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Adobe Illustrator, Adobe Photoshop, Creativity, Communication Skills, Real Estate, Creative/Design/Art"
Receptionist,First Group, Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Females Only, Administration, Office Management, Communication Skills, Customer Care, Secretary, Administration"
IT Specialist,Dynamicslink, Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Information Technology (IT), HW, Computer Science, Maintenance, Installation, Networks, Medical, IT/Software Development"
Digital Marketing Specialist - Remotely -Part...,Dimensions, Cairo,Part Time,Freelance / Project,4-6 Yrs of Exp,Egypt,"4-6 Yrs of Exp, Digital Marketing, E-marketing, Social Media, English, Arabic, Medicals, Hospitals, Marketing/PR/Advertising"
Senior System Engineer,Centro Global Solutions, Maadi,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Software, System Administration, Systems, Security, Configuration, Information Technology (IT), Computer Science, SQL"
Call Center Agent,First Group, Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Males Only, Customer Service, Call Center, Customer Support, Customer Care, Communication Skills, Customer Service/Support"
Graphic Designer,Confidential, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Adobe Photoshop, Adobe Illustrator, Motion Graphics, Creative/Design/Art, Marketing/PR/Advertising"
Front End/UI Developer,Cybertron International Inc., Smart Village,Full Time,Entry Level,1-5 Yrs of Exp,Giza,"Information Technology (IT), UI, Front End, Software Development, Software Engineering, Web Development, PHP, Agile, Webpack"
Senior UX Designer,Arabian Systems, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"UX, UX Design, Computer Science, HTML5, javaScript, CSS3, IT/Software Development"
Business Coordinator,FloraDoor, Nasr City,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"English, Communication Skills, Business Administration, Flowers, Coordinator, Customer Service, Customer Care, Customer Support"
Senior Real Estate Sales Executive,Unicity, New Cairo,Full Time,Experienced,2-6 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Communication Skills, Direct Sales, English, Commercial, Customer Service, Real Estate, Sales/Retail"
Senior Software Developer (Python - AI),CrossWorkers, New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Information Technology (IT), Software Development, Software Engineering, Python, Programming, C++, Web Applications, Frameworks"
Reporting Analyst,Sykes Enterprises, Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"SQL, Call Center, Power BI, Administration, Analysis, Administration, Analyst/Research"
Web Developer,harfco, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Computer Science, Web Development, Software Development, Engineering, HTML, CSS, IT/Software Development"
Senior Software Developer (C++ - AI),CrossWorkers, New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Software Development, Computer Science, Software Engineering, C++, Programming, Web Applications, Frameworks, Python"
Fixed Assets & General Ledger Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Financial Analysis, Management, Accounting, Commerce, Fixed Assets & General Ledger, Accounting/Finance"
Executive Assistant,harfco, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Office Management, Secretary, Microsoft Office, Communication Skills, Administration"
Interior Designer,harfco, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"AutoCAD, Engineering, Interior Designer, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
Senior Business Development - Digital Advertising...,Premier Services and Recruitment, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Business Development, Digital Advertising, Marketing, Sales Skills, Industry, Business Development, Marketing/PR/Advertising"
Inventory Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Inventory, Finance, Financial Analysis, Commerce, Management Accounting, Accounting/Finance"
Operations Supervisor,InfoFort Egypt S.A.E., 6th of October,Full Time,Manager,2-3 Yrs of Exp,Giza,"Management, MS Office, English, Operations/Management"
Proposal Supervisor ( Energy & Infrastructure...,Confidential, New Cairo,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Tendering, Power Engineering, Project/Program Management, Engineering - Mechanical/Electrical, Engineering - Oil & Gas/Energy"
Technical Sales Coordinator,Brilliant Engineering, 6th of October,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Mechanical Engineering, English, Sales Skills, Sales Target, Customer Service, HVAC, Sales/Retail"
E-Marketing Specialist,Brilliant Engineering, 6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Social Media Ads, English, Electrical Engineering, Mechanical Engineering, Marketing/PR/Advertising, Media/Journalism/Publishing"
Payroll Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Finance, Financial Analysis, Commerce, Payroll Accounting, Accounting/Finance"
Product Manager - (CNS Line),Delta Pharma Egypt, Nasr City,Full Time,Manager,2-3 Yrs of Exp,Cairo,"Pharmaceutical, Product Management, Marketing Strategies, Marketing Campaigns, Advertising, Public Relations (PR), Technical Marketing"
"Risk,Compliance & Governance Manager",The First Microfinance, Maadi,Full Time,Senior Management,7+ Yrs of Exp,Cairo,"Compliance, Legal, Administration, Administration, Legal, Operations/Management"
